Preguntas,Categoría,Respuesta,Respuesta Mejorada, 
¿Qué es el Régimen Trabajador?,Cursado,"El Régimen Especial de Cursado (RE) permite a los/as estudiantes que se encuentren en situación de trabajo, enfermedad o embarazo y/o que tengan persona/s a cargo, acceder a los siguientes derechos:

1. Eximición del requisito de asistencia a clase para regularizar o promocionar una materia.
2. Eximición del requisito de asistir a los laboratorios, excepto cuando estas actividades sean necesariamente presenciales.
3. Posibilidad de rendir los parciales en un día y horario especial.
4. Prioridad para la elección de la comisión de cursada al momento de la inscripción del cuatrimestre.","📌 *Régimen Especial de Cursado (RE)*

Es un beneficio para estudiantes que se encuentren en situación de *trabajo, enfermedad, embarazo y/o tengan persona/s a cargo*, que les permite acceder a los sigueintes derechos:

* *No tenés que cumplir con el mínimo de asistencia* para regularizar o promocionar una materia.
* *No necesitás ir a los laboratorios* (solo si son presenciales obligatorios).
* *Podés rendir parciales en otro día y horario* si lo necesitás.
* *Tenés prioridad para elegir comisión* al inscribirte.

Más info: 🔗 https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-de-asuntos-estudiantiles/r%C3%A9gimen-especial-de-cursado-de-famaf-primer-cuatrimestre-2023/",
¿Cómo es el trámite para solicitar el diploma digital?,Cursado,"La solicitud de la certificación se realiza desde el Sistema Guaraní, los pasos están detallados en el siguiente instructivo:
https://drive.google.com/file/d/1pkY8i3dxU-Muz6KZUNN8CnrkxaXulGgZ/view?usp=sharing","📌 *Diploma digital:*

Seguí este instructivo paso a paso para obtenerlo:
 🔗 https://drive.google.com/file/d/1pkY8i3dxU-Muz6KZUNN8CnrkxaXulGgZ/view?usp=sharing",
¿En qué aula tengo que rendir un examen final?,Exámenes,Las aulas designadas para rendir una materia son informadas unos días antes de la fecha de examen a través de la página web del Despacho de Estudiantes de FAMAF: https://www.famaf.unc.edu.ar/la-facultad/institucional/areas-y-departamentos/%C3%A1rea-direcci%C3%B3n-de-ense%C3%B1anza/despacho-de-Estudiantes-informa/,"Las aulas para rendir se publican unos días antes en la web del *Despacho de Estudiantes*:
🔗 https://www.famaf.unc.edu.ar/la-facultad/institucional/areas-y-departamentos/%C3%A1rea-direcci%C3%B3n-de-ense%C3%B1anza/despacho-de-Estudiantes-informa/

✅ ¡No te olvides de revisarlo unos días antes del examen!",
¿Cuál es el Calendario Académico 2026?,Información General,"Los Calendarios Académicos de todos los años los podes encontrar en el siguiente enlace:

https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/calendario-acad%C3%A9mico/

Allí vas a encontrar información sobre los períodos de cursado, las épocas de exámenes y las fechas de las colaciones correspondientes al año.","📅 *Calendario Académico:*

Ahí vas a encontrar
* Épocas de cursado.
* Fechas de exámenes.
* Colaciones.

🔗 En este enlace podés encontrar el de este año y el de años anteriores: https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/calendario-acad%C3%A9mico/

Si necesitás algo más, avisame 😊",
¿Qué requisitos piden para la equivalencia externa si vengo de otra facultad y quiero cambiarme a FAMAF?,Ingreso,"En caso de que desees ingresar a FAMAF desde otra factulad, tenés que iniciar un trámite por email y pedir equivalencias de materias.

La recepción de solicitudes es desde el 1 de agosto al 31 de octubre y el resultado será entregado a comienzos del año siguiente para que puedas comenzar en FAMAF en marzo del año siguiente (una vez que te llegue el correo de confirmación). 

Para las equivalencias de materias no hay una tabla fija, más bien cada caso se evalúa con una Comision Asesora de Equivalencias, contando también el Curso de Nivelación como cualquier otra materia.

La documentación requerida para este trámite se debe enviar vía email a oficialia@famaf.unc.edu.ar y consiste de:
1. Documentación Académica:
  - Certificado Analítico Oficial con notas, fechas de aprobación y constancia de aplazos.
  - Certificado de sanciones disciplinarias, indicando si tuvise o no.
  - Certificado de cancelación de matrícula, solo si la carrera es de igual nombre.
  - Programas oficiales legalizados de las materias aprobadas, con carga horaria, contenidos, trabajos o laboratorios y bibliografía.
  - Escala de calificaciones de tu institución de origen.
  - Plan de estudios de la carrera que cursaste.
  - Resolución ministerial que de validez nacional a la carrera.

2. Documentación Personal
  - Certificado de estudios secundarios completos, legalizado por la Oficialía Mayor de la UNC (https://www.unc.edu.ar/oficialia-mayor).
  - DNI (frente y dorso).
  - Constancia de CUIL.

Además de una nota dirigida al decano junto con los requisitos, en el siguiente enlace podes encontrar un modelo orentativo: https://tinyurl.com/equivalencias-externas-FAMAF

IMPORTANTE:
- Si el estudiante ya es alumno de FAMAF, debe aclararlo en la nota y en ese caso, el trámite puede presentarse en cualquier día del año. 
- Si querés ingresar a dos o más carreras, tenes que hacer un trámite separado para cada carrera.","📌 *Requisitos para equivalencia externa*

Si venís de otra facultad y querés cambiarte a FAMAF, acá te explico cómo hacerlo:

📅 *Plazos*:
* Desde el 01/08 al 31/10 podés enviar tu solicitud.
* El resultado lo tenés a comienzos del año siguiente.
* Empezás en FAMAF en marzo del año próximo (cuando te confirmen por mail).

🔍 *Evaluación*:
* No hay tabla fija: cada caso lo evalúa una Comisión Asesora.
* El Curso de Nivelación también se considera.

📄 *Documentación*:

1. *Académica*:
* Certificado Analítico Oficial (con notas, fechas y constancias de aplazos).
* Certificado de sanciones disciplinarias.
* Certificado de cancelación de matrícula (solo si el nombre de la carrera es igual).
* Programas oficiales de materias aprobadas (contenidos, carga horaria, bilbiografías, trabajos o laboratorios).
* Escala de calificaciones de la facultad que venís.
* Plan de estudios de la carrera que cursaste.
* Resolución ministerial que valide tu carrera.

2. *Personal*:
* Certificado de estudios secundarios completos (legalizado por Oficialía Mayor UNC: https://www.unc.edu.ar/oficialia-mayor).
* DNI (frente y dorso).
* Constancia de CUIL.

3. *Nota*:
* Incluí una nota dirigida al decano.
* Podés usar este modelo como referencia: https://tinyurl.com/equivalencias-externas-FAMAF

⚠️ *Importante*:
* Si ya sos alumno de FAMAF, aclaralo en la nota y podés hacer el trámite en cualquier momento.
* Si querés ingresar a más de una carrera, hacé un trámite por cada una.

📩 *Enviá todo* a oficialia@famaf.unc.edu.ar",
¿Cómo hacer la preinscripción para el curso de nivelación intensivo 2026 de FAMAF?,Ingreso,"La preinscripción al Curso de Nivelación intensivo de FAMAF se encuentra abierta desde el 3 de noviembre hasta el 12 de diciembre de 2025. Este se dictará durante enero y febrero del año 2026, para los que deseen ingresar a una carrera en FAMAF en 2026.

Para inscribirte necesitás tener un usuario en Sistema Guaraní; en caso de que no tengas, podés solicitarlo mediante el siguiente formulario:
https://preinscripcion.guarani.unc.edu.ar/preinscripcion/

Si ya tenés un usuario en sistema Guaraní, tenés que ingresar y seguir los pasos del siguiente video-tutorial:

https://www.youtube.com/watch?v=deQuWbJnEDU

En caso de que seas alumno extranjero deberás seguir los pasos del siguiente instructivo:

https://docs.google.com/document/d/1lea6U_TZ7dL1BqoBUjWK0cS2jW7ar4hCmtuIODqtSqQ/edit?tab=t.0","📅 *Preinscripción - Curso de Nivelación Intensivo 2026*

Se encuentra abierta desde el 03/11/2025 hasta el 12/12/2025. 

*Pasos para inscribirte*:

Necesitas un usuario en el sistema Guaraní. En caso de que no lo tengas, podes crearlo desde acá: 
🔗 https://preinscripcion.guarani.unc.edu.ar/preinscripcion/

Si ya tenés usuario, seguí este *video-tutorial*: 
🔗 https://www.youtube.com/watch?v=deQuWbJnEDU

💡 *Importante:* si sos *alumno extranjero*, seguí este instructivo: https://docs.google.com/document/d/1lea6U_TZ7dL1BqoBUjWK0cS2jW7ar4hCmtuIODqtSqQ/edit?tab=t.0 

 ",
¿Cómo hacer la preinscripción para el cursillo intensivo 2026 de FAMAF?,Ingreso,"La preinscripción al Curso de Nivelación intensivo de FAMAF se encuentra abierta desde el 3 de noviembre hasta el 12 de diciembre de 2025. Este se dictará durante enero y febrero del año 2026, para los que deseen ingresar a una carrera en FAMAF en 2026.

Para inscribirte necesitás tener un usuario en Sistema Guaraní; en caso de que no tengas, podés solicitarlo mediante el siguiente formulario:
https://preinscripcion.guarani.unc.edu.ar/preinscripcion/

Si ya tenés un usuario en sistema Guaraní, tenés que ingresar y seguir los pasos del siguiente video-tutorial:

https://www.youtube.com/watch?v=deQuWbJnEDU

En caso de que seas alumno extranjero deberás seguir los pasos del siguiente instructivo:

https://docs.google.com/document/d/1lea6U_TZ7dL1BqoBUjWK0cS2jW7ar4hCmtuIODqtSqQ/edit?tab=t.0","📅 *Preinscripción - Curso de Nivelación Intensivo 2026*

Se encuentra abierta desde el 03/11/2025 hasta el 12/12/2025. 

*Pasos para inscribirte*:

Necesitas un usuario en el sistema Guaraní. En caso de que no lo tengas, podes crearlo desde acá: 
🔗 https://preinscripcion.guarani.unc.edu.ar/preinscripcion/

Si ya tenés usuario, seguí este *video-tutorial*: 
🔗 https://www.youtube.com/watch?v=deQuWbJnEDU

💡 *Importante:* si sos *alumno extranjero*, seguí este instructivo: https://docs.google.com/document/d/1lea6U_TZ7dL1BqoBUjWK0cS2jW7ar4hCmtuIODqtSqQ/edit?tab=t.0 

 ",
¿Cómo hacer la preinscripción para el curso de ingreso intensivo 2026 de FAMAF?,Ingreso,"La preinscripción al Curso de Nivelación intensivo de FAMAF se encuentra abierta desde el 3 de noviembre hasta el 12 de diciembre de 2025. Este se dictará durante enero y febrero del año 2026, para los que deseen ingresar a una carrera en FAMAF en 2026.

Para inscribirte necesitás tener un usuario en Sistema Guaraní; en caso de que no tengas, podés solicitarlo mediante el siguiente formulario:
https://preinscripcion.guarani.unc.edu.ar/preinscripcion/

Si ya tenés un usuario en sistema Guaraní, tenés que ingresar y seguir los pasos del siguiente video-tutorial:

https://www.youtube.com/watch?v=deQuWbJnEDU

En caso de que seas alumno extranjero deberás seguir los pasos del siguiente instructivo:

https://docs.google.com/document/d/1lea6U_TZ7dL1BqoBUjWK0cS2jW7ar4hCmtuIODqtSqQ/edit?tab=t.0","📅 *Preinscripción - Curso de Nivelación Intensivo 2026*

Se encuentra abierta desde el 03/11/2025 hasta el 12/12/2025. 

*Pasos para inscribirte*:

Necesitas un usuario en el sistema Guaraní. En caso de que no lo tengas, podes crearlo desde acá: 
🔗 https://preinscripcion.guarani.unc.edu.ar/preinscripcion/

Si ya tenés usuario, seguí este *video-tutorial*: 
🔗 https://www.youtube.com/watch?v=deQuWbJnEDU

💡 *Importante:* si sos *alumno extranjero*, seguí este instructivo: https://docs.google.com/document/d/1lea6U_TZ7dL1BqoBUjWK0cS2jW7ar4hCmtuIODqtSqQ/edit?tab=t.0 

 ",
¿Cuándo y en qué modalidades se puede hacer el curso de nivelación de FAMAF?,Ingreso,"El curso de nivelación de FAMAF tiene 3 ediciones:

- Curso de nivelación intensivo:
- Destinado a: aquellas personas que deseen ingresar por primera vez a la facultad o a aquellas que no hayan completado el trámite de inscripción definitiva años anteriores (nuevxs ingresantes).
- Dictado: fines de enero y febrero de cada año
- Modalidad: intensiva y presencial. Se cursa de lunes a viernes, 4 hs por día, pudiendo optar por turno mañana (de 9 hs a 13 hs) o turno tarde (de 14 hs a 18 hs)
- Preinscripciones: una vez definidos, fechas y requisitos serán publicados en famaf.unc.edu.ar/ingresantes (aproximandamente a principios de noviembre estará la información)

- Re dictado del Curso de nivelación primer cuatrimestre:
- Destinado a: aquellas personas que hayan completado el trámite de inscripción definitiva en algún momento (estudiantes de FAMAF) y que no hayan aprobado el curso de nivelación en ediciones anteriores.
- Dictado: durante el primer cuatrimestre, consultar fechas exactas de Cursado en el Calendario Académico en el apartado ""Primer Cuatrimestre del año vigente - Grado y Posgrado"".
- Modalidad: no intensiva y presencial. Se cursa dos días por semana, 4 hs por día. Ver horarios en ""Horarios de cursada redictado"" en el siguiente enlace https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/.
- Inscripciones: Por Guaraní, a través de la pestaña ""Inscripción a materias"" durante el periodo de Inscripciones del apartado ""Primer Cuatrimestre año vigente - Grado y Posgrado"" del Calendario Académico.

- Curso de nivelación no intensivo para nuevxs ingresantes:
- Destinado a: aquellas personas que deseen ingresar por primera vez a la facultad o que no hayan aprobado el curso de nivelación en ediciones anteriores. Pueden estar cursando el último año del secundario.
- Dictado: de agosto a diciembre de cada año
- Modalidad: no intensiva, presencial o a distancia. 4 hs semanales, pudiendo optar por los días viernes de 16 hs a 20 hs o los días sábados de 9 hs a 13 hs.
- Preinscripciones: una vez definidos, fechas y requisitos serán publicados en famaf.unc.edu.ar/ingresantes (aproximadamente en junio de ese mismo año estará disponible la información)

El curso de nivelación es el mismo para todas las carreras.","📚 *Curso de nivelación de FAMAF*

El curso de nivelación de FAMAF tiene 3 ediciones:

👉 *Modalidad intensiva* (para nuevxs ingresantes):
* Se dicta a fines de enero y febrero de cada año.
* La modalidad es intensiva y presencial, 4 hs/día en dos turnos:
      ↳ Mañana (9 a 13 hs).
      ↳ Tarde (14 a 18 hs).
* Toda la información sobre la preinscripción se publica en https://famaf.unc.edu.ar/ingresantes (aproximadamente desde principios de noviembre).

👉 *Re dictado primer cuatrimestre* (para estudiantes que realizaron la inscripción definitiva):
* Se dicta durante el primer cuatrimestre (fechas exactas en el Calendario Académico).
* La modalidad es no intensiva y presencial, 2 días/semana, 4 hs/día (horarios acá https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/).
* La inscripción se realiza por Guaraní durante el periodo de inscripciones (ver Calendario Académico).

👉 *Modalidad no intensiva* (para nuevxs ingresantes que pueden estar en el útlio año del secundario):
* Se dicta durante agosto de cada año. 
* La modalidad puede ser presencial o a distancia, 4 hs/semana ya sea:
      ↳ Viernes de 16 hs a 20 hs.
      ↳Sábados de 9 hs a 13 hs.
* Toda la información será publicada en https://famaf.unc.edu.ar/ingresantes (aproximadamente desde junio).

✅ El curso de nivelación es el mismo para todas las carreras. ¡Cualquier duda, avisame!",
¿Qué documentación tengo que llevar para hacer la inscripción definitiva?,Ingreso,"La inscripción definitiva tendrá lugar del 2 al 23 de ferbrero de 2026.

Para realizar el trámite deberás enviar un mail a despachoestudiantes@famaf.unc.edu.ar con el asunto ""INSCRIPCIÓN DEFINITIVA"" y adjuntar (en un solo archivo) el Certificado Analítico o en caso de aún no tenerlo, la constancia de título del secundario en trámite con la leyenda ""no adeuda materias"".

Tras la INSCRIPCIÓN DEFINITIVA el/la INGRESANTE pasa a ser ESTUDIANTE DE LA UNIVERSIDAD.","📌 *Inscripción definitiva 2026*

Se realiza desde 2 al 23 de febrero.

Para hacerla mandá un mail a despachoestudiantes@famaf.unc.edu.ar con el asunto *INSCRIPCIÓN DEFINITIVA*, adjuntando en un solo archivo el *Certificado Analítico* o, si no lo tenés, la *constancia de título del secundario en trámite* (con la leyenda *no adeuda materias*).

Una vez hecha la inscripción, ¡sos oficialmente *estudiante de la UNC*! 🎉",
