Preguntas,Categoría,Respuesta Mejorada, 
¿En qué aula tengo que rendir un examen final?,Exámenes,"Las aulas para rendir se publican unos días antes en la web del *Despacho de Estudiantes*:
🔗 https://www.famaf.unc.edu.ar/la-facultad/institucional/areas-y-departamentos/%C3%A1rea-direcci%C3%B3n-de-ense%C3%B1anza/despacho-de-Estudiantes-informa/

✅ ¡No te olvides de revisarlo unos días antes del examen!",
¿Cuál es el Calendario Académico 2026?,Información General,"📅 *Calendario Académico:*

Ahí vas a encontrar
* Épocas de cursado.
* Fechas de exámenes.
* Colaciones.

🔗 En este enlace podés encontrar el de este año y el de años anteriores: https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/calendario-acad%C3%A9mico/

Si necesitás algo más, avisame 😊",
¿Qué requisitos piden para la equivalencia externa si vengo de otra facultad y quiero cambiarme a FAMAF?,Ingreso,"📌 *Requisitos para equivalencia externa*

Si venís de otra facultad y querés cambiarte a FAMAF, acá te explico cómo hacerlo:

📅 *Plazos*:
* Desde el 01/08 al 31/10 podés enviar tu solicitud.
* El resultado lo tenés a comienzos del año siguiente.
* Empezás en FAMAF en marzo del año próximo (cuando te confirmen por mail).

🔍 *Evaluación*:
* No hay tabla fija: cada caso lo evalúa una Comisión Asesora.
* El Curso de Nivelación también se considera.

📄 *Documentación*:

1. *Académica*:
* Certificado Analítico Oficial (con notas, fechas y constancias de aplazos).
* Certificado de sanciones disciplinarias.
* Certificado de cancelación de matrícula (solo si el nombre de la carrera es igual).
* Programas oficiales de materias aprobadas (contenidos, carga horaria, bilbiografías, trabajos o laboratorios).
* Escala de calificaciones de la facultad que venís.
* Plan de estudios de la carrera que cursaste.
* Resolución ministerial que valide tu carrera.

2. *Personal*:
* Certificado de estudios secundarios completos (legalizado por Oficialía Mayor UNC: https://www.unc.edu.ar/oficialia-mayor).
* DNI (frente y dorso).
* Constancia de CUIL.

3. *Nota*:
* Incluí una nota dirigida al decano.
* Podés usar este modelo como referencia: https://tinyurl.com/equivalencias-externas-FAMAF

⚠️ *Importante*:
* Si ya sos alumno de FAMAF, aclaralo en la nota y podés hacer el trámite en cualquier momento.
* Si querés ingresar a más de una carrera, hacé un trámite por cada una.

📩 *Enviá todo* a oficialia@famaf.unc.edu.ar",
¿Cómo hacer la preinscripción para el curso de nivelación intensivo 2026 de FAMAF?,Ingreso,"📅 *Preinscripción - Curso de Nivelación Intensivo 2026*

Se encuentra abierta desde el 03/11/2025 hasta el 12/12/2025. 

*Pasos para inscribirte*:

Necesitas un usuario en el sistema Guaraní. En caso de que no lo tengas, podes crearlo desde acá: 
🔗 https://preinscripcion.guarani.unc.edu.ar/preinscripcion/

Si ya tenés usuario, seguí este *video-tutorial*: 
🔗 https://www.youtube.com/watch?v=deQuWbJnEDU

💡 *Importante:* si sos *alumno extranjero*, seguí este instructivo: https://docs.google.com/document/d/1lea6U_TZ7dL1BqoBUjWK0cS2jW7ar4hCmtuIODqtSqQ/edit?tab=t.0 

 ",
¿Cómo hacer la preinscripción para el cursillo intensivo 2026 de FAMAF?,Ingreso,"📅 *Preinscripción - Curso de Nivelación Intensivo 2026*

Se encuentra abierta desde el 03/11/2025 hasta el 12/12/2025. 

*Pasos para inscribirte*:

Necesitas un usuario en el sistema Guaraní. En caso de que no lo tengas, podes crearlo desde acá: 
🔗 https://preinscripcion.guarani.unc.edu.ar/preinscripcion/

Si ya tenés usuario, seguí este *video-tutorial*: 
🔗 https://www.youtube.com/watch?v=deQuWbJnEDU

💡 *Importante:* si sos *alumno extranjero*, seguí este instructivo: https://docs.google.com/document/d/1lea6U_TZ7dL1BqoBUjWK0cS2jW7ar4hCmtuIODqtSqQ/edit?tab=t.0 

 ",
¿Cómo hacer la preinscripción para el curso de ingreso intensivo 2026 de FAMAF?,Ingreso,"📅 *Preinscripción - Curso de Nivelación Intensivo 2026*

Se encuentra abierta desde el 03/11/2025 hasta el 12/12/2025. 

*Pasos para inscribirte*:

Necesitas un usuario en el sistema Guaraní. En caso de que no lo tengas, podes crearlo desde acá: 
🔗 https://preinscripcion.guarani.unc.edu.ar/preinscripcion/

Si ya tenés usuario, seguí este *video-tutorial*: 
🔗 https://www.youtube.com/watch?v=deQuWbJnEDU

💡 *Importante:* si sos *alumno extranjero*, seguí este instructivo: https://docs.google.com/document/d/1lea6U_TZ7dL1BqoBUjWK0cS2jW7ar4hCmtuIODqtSqQ/edit?tab=t.0 

 ",
¿Cuándo y en qué modalidades se puede hacer el curso de nivelación de FAMAF?,Ingreso,"📚 *Curso de nivelación de FAMAF*

El curso de nivelación de FAMAF tiene 3 ediciones:

👉 *Modalidad intensiva* (para nuevxs ingresantes):
* Se dicta a fines de enero y febrero de cada año.
* La modalidad es intensiva y presencial, 4 hs/día en dos turnos:
      ↳ Mañana (9 a 13 hs).
      ↳ Tarde (14 a 18 hs).
* Toda la información sobre la preinscripción se publica en https://famaf.unc.edu.ar/ingresantes (aproximadamente desde principios de noviembre).

👉 *Re dictado primer cuatrimestre* (para estudiantes que realizaron la inscripción definitiva):
* Se dicta durante el primer cuatrimestre (fechas exactas en el Calendario Académico).
* La modalidad es no intensiva y presencial, 2 días/semana, 4 hs/día (horarios acá https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/).
* La inscripción se realiza por Guaraní durante el periodo de inscripciones (ver Calendario Académico).

👉 *Modalidad no intensiva* (para nuevxs ingresantes que pueden estar en el útlio año del secundario):
* Se dicta durante agosto de cada año. 
* La modalidad puede ser presencial o a distancia, 4 hs/semana ya sea:
      ↳ Viernes de 16 hs a 20 hs.
      ↳Sábados de 9 hs a 13 hs.
* Toda la información será publicada en https://famaf.unc.edu.ar/ingresantes (aproximadamente desde junio).

✅ El curso de nivelación es el mismo para todas las carreras. ¡Cualquier duda, avisame!",
¿Qué documentación tengo que llevar para hacer la inscripción definitiva?,Ingreso,"📌 *Inscripción definitiva 2026*

Se realiza desde 2 al 23 de febrero.

Para hacerla mandá un mail a despachoestudiantes@famaf.unc.edu.ar con el asunto *INSCRIPCIÓN DEFINITIVA*, adjuntando en un solo archivo el *Certificado Analítico* o, si no lo tenés, la *constancia de título del secundario en trámite* (con la leyenda *no adeuda materias*).

Una vez hecha la inscripción, ¡sos oficialmente *estudiante de la UNC*! 🎉",
¿Cuál es la diferencia de inscribirse a las materias como libre o regular?,Ingreso,"📌 *Inscripción regular*:
* Cumplís con las *correlatividades* de tu carrera (materias aprobadas o regularizadas).
* Podés promocionar si la materia lo permite.
* Tenés 2 años para rendir el final con el mismo programa.
* En algunas materias, puede existir el eneficio de un examen diferenciado.

📌 *Inscripción libre*:
* No cumplís las correlatividades.
* Podés cursar y rendir parciales, pero no promocionás.
* No podrás obtener la regularidad.

🔗 Más info: https://tinyurl.com/faq-ingresantes",
¿Cómo me inscribo para cursar las materias?,Ingreso,"📅 *Fechas de inscripción*:
👉 Desde el *2 de marzo* a las 14:00 hs hasta el *13 de marzo* a las 23:59 hs.
👉 *Materias de primer año*: Desde el *3 de marzo* a las 14:00 hs hasta el *14 de marzo* a las 23:59 hs.

🎓 *Ingresantes*:
Si promocionaste, aprobaste el examen o regularizaste el curso de nivelación, inscribite en Guaraní:
1️⃣ Entrá a Guaraní y buscá *Inscripción a Materias*.
2️⃣ Elegí la materia y hacé clic en *Inscribirse*.
3️⃣ Esperá unos días para entrar al *Aula Virtual*.

📌 *Notas*: Ya están cargadas en *Historia Académica* en Guaraní. Si rendiste el 4 de marzo, las notas estarán entre el 5 y 6 de marzo.

📌 *Inscripción condicional*: Si no hiciste la inscripción definitiva, completá este formulario: https://forms.gle/QPTgwJexfJqqqHKE7. Recordá hacer la inscripción definitiva apenas tengas el Certificado de Secundario Completo o Constancia, enviándola a despachoestudiantes@famaf.unc.edu.ar hasta el 30 de abril.

📚 *No ingresantes*:
Primero reinscribite a la propuesta en Guaraní. Luego
1️⃣ Entrá a *Inscripción a Materias*.
2️⃣ Elegí la materia y hacé clic en *Inscribirse*.
3️⃣ Esperá hasta el *10 de marzo* para entrar al *Aula Virtual*.

📌 *Horarios*: Verificalos en Guaraní en *Reportes > Agenda* o en https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/.

📌 *Especialidades y Optativas*:
🔗 Completá este formulario: https://forms.gle/VccEhhg5BVnDU85H9. Te avisarán por email si fuiste inscripto.

📌 *Intercambio y Vocacionales*:
🔗 Información aquí: https://docs.google.com/document/d/1TPRDsXlJKBgg3A-l56oh-lBuLG4OV5gkBH_lz5Grutw/edit.

📌 *Alumno libre (solo para materias de segundo año en adelante)*:
🔗 Completá este formulario: https://forms.gle/jtE3d6YDX6TFmpiX8.
",
¿Cómo me inscribo para rendir el examen final de una materia?,Exámenes,"*Pasos para inscribirte al final*:

1. Entrá a Guaraní: https://guarani.unc.edu.ar
2. Buscá la opción *Inscripción a Exámenes*
3. Elegí la materia que querés rendir
4. Seleccioná si lo hacés como *libre* o *regular*
5. ¡Dale a *Inscribirse* y listo!

¡Mucha suerte! 🍀 ",
¿Qué tengo que hacer si quiero cambiarme a otra carrera de FAMAF o cursar otra al mismo tiempo?,Cursado,"📌 *Cambio de Carrera dentro de FAMAF y Cursado Paralelo* 

Para pedir el cambio de carrera o cursar en paralelo otra de FAMAF, tenes que completar este formulario: 🔗 https://docs.google.com/forms/d/e/1FAIpQLSeNA8jXxGARDeebj0TdjXMmmXGNph0gZQPkzfliWZbcbN9KdQ/viewform

📅 *Plazos:* 
* Hasta la primera semana de diciembre.
* Se reabre el primer día hábil de febrero.

⏳ *Tiempo de respuesta:* 15 días hábiles desde que lo enviás.

📧 Te avisaremos por mail cuando esté listo.

⚠️ *Importante:* Tenés que hacer el trámite por cada carrera que quieras cursar.",
¿Dónde tengo que llenar el formulario para pedir equivalencias comunes entre carreras de FAMAF?,Cursado,"📌 *Equivalencias comunes entre carreras de FAMAF*

El trámite de reconocimiento se realizará de acuerdo a: 

* *Trámite automático*: si la materia tiene el *mismo código en ambas carreras* (ej: Física General I en Lic. en Astronomía y Lic. en Física), no tenés que hacer nada. Mirá la lista completa de materias con trámite automático acá: 🔗 https://www.famaf.unc.edu.ar/documents/5076/RHCD-2024-397-E-UNC-DEC_FAMAF_-_ANEXO_I.pdf
* *Trámite a solicitud*: si la materia tiene código o nombre distinto pero se consideran equivalentes, tenés que pedir la equivalencia. Hay dos casos:
      ↳ *Materias equivalentes*: poseen *cursadas idénticas* (ej: Matemática Discreta I en Lic. en Cs. de la Computación y Matemática Aplicada).
      ↳ *Materias con contenidos equivalentes*: contenidos similares pero dictadas en otra carrera (ej: Análisis Numérico I en Lic. en Matemática y Lic. en Cs. de la Computación).

*Lista completa de materias cuyas equivalencias se deben solicitar:* 
* 🔗 https://www.famaf.unc.edu.ar/documents/5077/RHCD-2024-397-E-UNC-DEC_FAMAF_-_ANEXO_II.pdf (Materias Equivalentes).
* 🔗 https://www.famaf.unc.edu.ar/documents/5078/RHCD-2024-397-E-UNC-DEC_FAMAF_-_ANEXO_III.pdf (Materias con contenidos equivalentes).

*¿Cómo pedirlas?*
👉 Rellená este formulario: https://forms.gle/bY9kevLfS6by49VA7.
👉 Si no figura en el formulario, completá esta nota: https://docs.google.com/document/d/1klRjzZnZstC-ES7BbqN3FYl0uB1LzheP/edit y enviála a nfigueroa@unc.edu.ar.

⚠️ *Aviso importante*: Las respuestas llegan en 15 días hábiles por correo electrónico.",
¿Cómo saco el certificado de alumno regular?,Cursado,"📌 *Solicitar Certificado de alumno regular*

1. Entrá a Guaraní y andá a *Trámites* > *Solicitar Constancias y Certificados* > *Nueva Solicitud*.
2. Completá los datos que te solicitan y guardá.
3. ¡Listo! El certificado se genera automáticamente.",
¿Qué tengo que hacer para inscribirme al trabajo especial?,Egreso,"📌 *Inscripción al trabajo especial*

Las inscripciones son *al comienzo de cada cuatrimestre*, para el primer cuatrimestre es durante todo el mes de marzo y el mes de agosto.

Tenes que enviar a *nfigueroa@unc.edu.ar* en un *único PDF*, lo siguiente:
* Un resumen de aproximadamente 10 líneas.
* Un plan de trabajo que incluya la bilbiografía que vas a comenzar a usar.
* Una nota solicitando la inscripción, siguiendo este modelo: 🔗 https://drive.google.com/file/d/1Bql8hNBtR6KPZ1fA6-A6hkif5htV5anD/view?usp=sharing.

🔍 *Más info* en el reglamento, ahí podes encontrar quienes pueden ser tus directores y demás:
https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf.",
¿Qué tengo que hacer para inscirbir mi tesis?,Egreso,"📌 *Inscripción al trabajo especial*

Las inscripciones son *al comienzo de cada cuatrimestre*, para el primer cuatrimestre es durante todo el mes de marzo y el mes de agosto.

Tenes que enviar a *nfigueroa@unc.edu.ar* en un *único PDF*, lo siguiente:
* Un resumen de aproximadamente 10 líneas.
* Un plan de trabajo que incluya la bilbiografía que vas a comenzar a usar.
* Una nota solicitando la inscripción, siguiendo este modelo: 🔗 https://drive.google.com/file/d/1Bql8hNBtR6KPZ1fA6-A6hkif5htV5anD/view?usp=sharing.

🔍 *Más info* en el reglamento, ahí podes encontrar quienes pueden ser tus directores y demás:
https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf.",
¿Qué tengo que hacer para inscribir mi trabajo final?,Egreso,"📌 *Inscripción al trabajo especial*

Las inscripciones son *al comienzo de cada cuatrimestre*, para el primer cuatrimestre es durante todo el mes de marzo y el mes de agosto.

Tenes que enviar a *nfigueroa@unc.edu.ar* en un *único PDF*, lo siguiente:
* Un resumen de aproximadamente 10 líneas.
* Un plan de trabajo que incluya la bilbiografía que vas a comenzar a usar.
* Una nota solicitando la inscripción, siguiendo este modelo: 🔗 https://drive.google.com/file/d/1Bql8hNBtR6KPZ1fA6-A6hkif5htV5anD/view?usp=sharing.

🔍 *Más info* en el reglamento, ahí podes encontrar quienes pueden ser tus directores y demás:
https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf.",
¿Qué tengo que hacer para inscribir mi trabajo de grado?,Egreso,"📌 *Inscripción al trabajo especial*

Las inscripciones son *al comienzo de cada cuatrimestre*, para el primer cuatrimestre es durante todo el mes de marzo y el mes de agosto.

Tenes que enviar a *nfigueroa@unc.edu.ar* en un *único PDF*, lo siguiente:
* Un resumen de aproximadamente 10 líneas.
* Un plan de trabajo que incluya la bilbiografía que vas a comenzar a usar.
* Una nota solicitando la inscripción, siguiendo este modelo: 🔗 https://drive.google.com/file/d/1Bql8hNBtR6KPZ1fA6-A6hkif5htV5anD/view?usp=sharing.

🔍 *Más info* en el reglamento, ahí podes encontrar quienes pueden ser tus directores y demás:
https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf.",
¿Dónde encuentro los Planes de Estudio?,Información General,"📌 *Planes de Estudio*

Ingresá a este enlace para poder ver todos los planes de estudio 
🔗 https://www.famaf.unc.edu.ar/academica/grado/",
¿Cuáles son los horarios del Despacho de Estudiantes?,Información General,"El *Despacho de Estudiantes* está en el *primer piso* de FAMAF. 

⏰ *Horarios*: 
* *Lunes*: 8:30 a 14:30 hs.
* *Martes a Jueves*: 8:30 a 18:00 hs.
* *Viernes*: 8:30 a 17:00 hs 

📧 Si necesitás ayuda por mail, escribí a despachoestudiantes@famaf.unc.edu.ar.",
¿Cuál es el correo de la Secretaría de Asuntos Estudiantiles (SAE)?,Información General,El correo de la *Secretaría de Asuntos Estudiantiles* (SAE) es sae@famaf.unc.edu.ar.,
¿Cómo se hace el trámite para el Boleto Educativo Gratuito (BEG) o Boleto Educativo Cordobés?,Información General,"🚌 *Boleto Educativo Cordobés*

📌 *Requisitos previos*:
* *Estar inscripto* en las materias que vas a cursar este cuatri.
* Tener *Ciudadano Digital nivel 2*.

👉 *Pasos para el trámite*:
1️⃣ Entrá a Guaraní.
2️⃣ En *Trámites* elegí *Tramitar Boleto Estudiantil Gratuito*.
3️⃣ Autorizá a la Secretaría de Transporte a consultar tus datos.
4️⃣ Entrá a *Ciudadano Digital*: https://cidi.cba.gov.ar/portal-publico/.
5️⃣ Completá el *Formulario Único de Postulantes*.

📌 *Importante*:
* Te van a responder por *correo electrónico* con los pasos a seguir.
* Si no hiciste el traspaso a *micronauta*, sacá turno en la Oficina de Transporte para activar tu tarjeta.

🔍 *Más info*: https://www.cba.gov.ar/boleto-cordobes/",
¿Cómo me inscribo a la Beca del Comedor Universitario (Nutrirse) de la UNC?,Información General,"📌 *Inscripción a Beca Nutrirse 2026*: Tenés tiempo desde el *23/02* hasta el *02/03* para anotarte.

*Pasos para la inscripción*: 

1️⃣ Entrá a *Guaraní*: https://autogestion.guarani.unc.edu.ar/.
2️⃣ Andá a *Trámites* > *Tramitar Accesos SAE UNC*. 
3️⃣ Marcá la casilla *Autorizo a la Secretaría de Asuntos Estudiantiles UNC a consultar mis datos* y guardá. 
4️⃣ Volvé a *Trámites* y elegí *Convocatoria a Becas*. 
5️⃣ Seleccioná *Beca Nutrirse* y hacé clic en *Aplicar*. 
6️⃣ Revisá la info y aceptá si todo está bien. 
7️⃣ Completá *Datos Personales*, marcá *Declaro que mis datos son correctos* y continuá. 
8️⃣ Subí la documentación digital requerida (hacé clic en *Documento Digital* > *Examinar* > *Subir*). 
9️⃣ Completá el cuestionario y terminá. 

*¿Cómo saber el estado de mi postulación?* 
Entrá a *Convocatoria a Becas* y mirá el *Estado*: 
* *Requiere modificaciones*: Tenés que corregir o subir documentación. 
* *No beneficiario de becas*: No te dieron la beca.
* *Beneficiario*: ¡Sos beneficiario de la beca! 🎉 

💡 *¿Dudas?* Mirá estos enlaces: 
*Tutorial paso a paso*: 
🔗 https://www.unc.edu.ar/sites/default/files/Tutorial%20Becas%202025.pdf.
*Info general*: 
🔗 https://www.unc.edu.ar/vida-estudiantil/becas-nutrirse-2026.
",
¿Cuál es el material de estudio para el curso de ingreso 2026?,Ingreso," El *material de estudio* 📚 para el curso de ingreso 

Podés descargarlo acá:
🔗 https://www.famaf.unc.edu.ar/documents/4592/Material_Estudio_Ingreso_FAMAF_2024.pdf.

Incluye los temas que se van a dar en clase y ejercicios para practicar.",
¿Cuál es el material de estudio para el curso de nivelación?,Ingreso," El *material de estudio* 📚 para el curso de ingreso 

Podés descargarlo acá:
🔗 https://www.famaf.unc.edu.ar/documents/4592/Material_Estudio_Ingreso_FAMAF_2024.pdf.

Incluye los temas que se van a dar en clase y ejercicios para practicar.",
¿Cuál es el material de estudio para el cursillo?,Ingreso," El *material de estudio* 📚 para el curso de ingreso 

Podés descargarlo acá:
🔗 https://www.famaf.unc.edu.ar/documents/4592/Material_Estudio_Ingreso_FAMAF_2024.pdf.

Incluye los temas que se van a dar en clase y ejercicios para practicar.",
¿Cuál es el material de estudio para el ingreso?,Ingreso," El *material de estudio* 📚 para el curso de ingreso 

Podés descargarlo acá:
🔗 https://www.famaf.unc.edu.ar/documents/4592/Material_Estudio_Ingreso_FAMAF_2024.pdf.

Incluye los temas que se van a dar en clase y ejercicios para practicar.",
¿Cuándo se puede rendir el Trabajo Especial?,Egreso,"📌 *Rendir el Trabajo Especial*
Se puede rendir durante las épocas de exámenes establecidas.

*¿Qué necesitás para rendirlo?*
Tenés que presentar una nota dirigida al/a la Decano/a de FAMAF, con el aval de tus directores/as con:
* El *título definitivo* del trabajo.
* La *fecha propuesta* para el examen.
* El *tribunal examinador*.
* Adjuntá la *carátula* del trabajo.

Además, deberás entregar una copia impresa del trabajo a cada miembro del tribunal.

⚠️ *Importante:* La presentación de todo esto debe ser *30 días antes* de la fecha de examen propuesta.

🔍 Más info en el Reglamento: https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf",
¿Cuándo se puede rendir la tesis?,Egreso,"📌 *Rendir el Trabajo Especial*
Se puede rendir durante las épocas de exámenes establecidas.

*¿Qué necesitás para rendirlo?*
Tenés que presentar una nota dirigida al/a la Decano/a de FAMAF, con el aval de tus directores/as con:
* El *título definitivo* del trabajo.
* La *fecha propuesta* para el examen.
* El *tribunal examinador*.
* Adjuntá la *carátula* del trabajo.

Además, deberás entregar una copia impresa del trabajo a cada miembro del tribunal.

⚠️ *Importante:* La presentación de todo esto debe ser *30 días antes* de la fecha de examen propuesta.

🔍 Más info en el Reglamento: https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf",
