Preguntas,Respuesta,Categoría,Respuesta Mejorada
cuando arranca el cursillo y q modalidades tiene,"El curso de nivelación de FAMAF tiene 3 ediciones:

- Curso de nivelación intensivo:
- Destinado a: aquellas personas que deseen ingresar por primera vez a la facultad o a aquellas que no hayan completado el trámite de inscripción definitiva años anteriores (nuevxs ingresantes).
- Dictado: fines de enero y febrero de cada año
- Modalidad: intensiva y presencial. Se cursa de lunes a viernes, 4 hs por día, pudiendo optar por turno tarde (de 9 hs a 13 hs) o turno mañana (de 14 hs a 18 hs)
- Preinscripciones: una vez definidos, fechas y requisitos serán publicados en famaf.unc.edu.ar/ingresantes (aproximandamente a principios de noviembre estará la información)

- Re dictado del Curso de nivelación primer cuatrimestre:
- Destinado a: aquellas personas que hayan completado el trámite de inscripción definitiva en algún momento (estudiantes de FAMAF) y que no hayan aprobado el curso de nivelación en ediciones anteriores.
- Dictado: durante el primer cuatrimestre, consultar fechas exactas de Cursado en el Calendario Académico en el apartado ""Primer Cuatrimestre del año vigente - Grado y Posgrado"".
- Modalidad: no intensiva y presencial. Se cursa dos días por semana, 4 hs por día. Ver horarios en ""Horarios de cursada redictado"" en el siguiente enlace https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/.
- Inscripciones: Por Guaraní, a través de la pestaña ""Inscripción a materias"" durante el periodo de Inscripciones del apartado ""Primer Cuatrimestre año vigente - Grado y Posgrado"" del Calendario Académico.

- Curso de nivelación no intensivo para nuevxs ingresantes:
- Destinado a: aquellas personas que deseen ingresar por primera vez a la facultad o que no hayan aprobado el curso de nivelación en ediciones anteriores. Pueden estar cursando el último año del secundario.
- Dictado: de agosto a diciembre de cada año
- Modalidad: no intensiva, presencial o a distancia. 4 hs semanales, pudiendo optar por los días viernes de 16 hs a 20 hs o los días sábados de 9 hs a 13 hs.
- Preinscripciones: una vez definidos, fechas y requisitos serán publicados en famaf.unc.edu.ar/ingresantes (aproximadamente en junio de ese mismo año estará disponible la información)

El curso de nivelación es el mismo para todas las carreras.",,
¿Cómo se realiza la inscripción definitiva?,"La Inscripción Definitiva suele realizarse a principios de febrero. Se requiere presentar la documentación que acredite haber completado los estudios secundarios sin adeudar materias. Luego de esta inscripción, el ingresante pasa a ser estudiante de la universidad.",Ingreso,
¿Cuál es la diferencia entre cursar una materia de manera regular y hacerlo como libre?,"El régimen de correlatividades de cada carrera establece:
1. Cuáles materias deben haberse aprobado y
2. Cuáles materias deben haberse regularizado

para poder inscribirse como estudiante regular de una nueva materia. Quienes se inscriban como tal, podrán alcanzar, al finalizar la misma, y asumiendo que hayan cumplido durante su cursado con los requisitos establecidos en su programa, la condición de estudiante regular de esa materia. Cada estudiante que haya alcanzado esa condición tendrá derecho, por el término de dos años, a rendir el examen de la materia con el mismo programa con que la regularizó. En algunas materias puede incluso existir el beneficio de un examen diferenciado para aquellos/as estudiantes que alcanzaron la regularidad. Si la materia es promocionable, quienes hayan aprobado las materias del punto 2 tendrán la posibilidad de alcanzar la promoción de la materia cumpliendo con los requisitos establecidos en su programa.

Quienes no cumplan con el requisito mencionado en el punto 2 podrán solicitar excepcionalmente la inscripción como estudiante libre a la Secretaría Académica. En caso de aceptarse, tendrán derecho a rendir los parciales y realizar los trabajos prácticos y demás actividades de la materia, pero no podrán alcanzar la condición de estudiante regular ni promocional.",Ingreso,
¿Cómo me inscribo a las materias?,"La inscripción a las materias se realizará según la siguiente categorías:

La fecha de inscripción serán desde el día 2 de Marzo a las 14:00 hs hasta el día 13 de Marzo a las 23:59 horas. Exceptuando las materias del primer cuatrimestre de primer año que se habilitarán a partir del día 3 de Marzo a las 14:00 hs hasta el 14 de Marzo a las 23:59 hs.

Ingresantes:

Los ingresantes que realizaron la inscripción definitiva y hayan promocionado, aprobado el examen o regularizado el curso de nivelación, podrán inscribirse a cursar las materias de primer año que se dictarán en el primer cuatrimestre a través de Guaraní, siguiende los siguientes pasos:

1. Ingresar a Guaraní y buscar la opción ""Inscripción a Materias"".
2. Elegí la materia que desees cursar y hace clic en ""Inscribirse"".
3. Esperar unos días para ingresar al Aula Virtual de la materia.

Recordá que ya se encuentrán cargadas las notas de promocion (Aprobado o Reprobado) en el ""Historia Académica"" dentro de tu Guaraní. En caso de rendir examen el 4 de Marzo, las notas estarán cargadas en este mismo menú entre el 5 y el 6 de Marzo.

Los ingresantes que NO realizaron la inscripción definitiva, podrán inscribirse a cursar materias de forma condicional, siempre y cuando hayan aprobado o regularizado el Curso de Nivelación llenando el siguiente formulario: https://forms.gle/QPTgwJexfJqqqHKE7. Recueden hacer la inscripción definitiva apenas obtengan el Certificado de Secundario Completo o Constancia., enviándola a despachoestudiantes@famaf.unc.edu.ar hasta el 30 de Abril.

No ingresantes:

Para alumnos no ingresantes primero deberán ingresar a Guaraní y, antes que nada, realizar la reinscripción anual. Luego, seguir los siguientes pasos.

1. Ingresar al menú ""Inscripción a Materias"".
2. Elegí la materia que desees cursar y hace clic en ""Inscribirse"".
2. Una vez inscripto/a en Guaraní deberás esperar hasta el martes 10 de marzo para entrar al Aula Virutal de la materia.

Para verificar las aulas y horarios de cursado lo podes hacer en Guaraní dentro del menú ""Reportes"" y seleccionando ""Agenda"" o podes hacerlo desde la página web de FAMAF en https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/ seleccionando la carrera que estás cursando y mover el selector de fechas hasta la semana del 9 de marzo del 2026 para poder visualizar los horarios de clase.

Especialidades y Optativas:

Para inscribirte en Especialidades u Optativas deberás llenar el siguiente formulario: https://forms.gle/VccEhhg5BVnDU85H9, una vez que tu solicitud sea procesada se te informará al email si has sido inscripto/a o no.

Para los alumnos de intercambio (Estudiante Regular Internacional) y vocacionales se puede encontrar información para la inscripción en este documento: https://docs.google.com/document/d/1TPRDsXlJKBgg3A-l56oh-lBuLG4OV5gkBH_lz5Grutw/edit

Para inscribirte como alumno libre (solo para materias de segundo año en adelante) debés tener aprobadas las materais correlativas de las correlativas de la asignatura que pretendern cursar, aunque no tengan regularizadas las materias correlativas de esa asignatura. Esto no aplica para materias de Metodología y Practica de la Enseñanza, Especialidades, Optativas ni Experimentales. Los incriptos como libres tendrán deracho a rendir evaluaciones parciales, trabajos prácticos y de laboratorio junto con demás actividades que se establezcan en el cursado, pero no podrán regularizar, ni promocionar. Para inscribirse, deben hacerlo mediante el siguiente formulario: https://forms.gle/jtE3d6YDX6TFmpiX8.

Fechas de inscripción: desde el 2 de marzo a las 14:00 hs hasta el 13 de marzo a las 23:59 a través de Guaraní. Exceptuando las materias de primero año, que se habilitará a partir del miércoles 4 de marzo a las 14:00 hs.",Ingreso,
Quisiera saber como inscribirme al final de una materia,"Para alumnos no ingresantes primero deberán ingresar a Guaraní y antes que nada, realizar la reinscripción anual. Luego, seguir los siguientes pasos.

1. Ingresar al menú ""Inscripción a Materias"".
2. Una vez inscripto/a en Guaraní deberás esperar hasta el martes 10 de marzo para entrar al Aula Virutal de la materia.
3. Verificá las aulas de cursado. Esto lo podes hacer en Guaraní dentro del menú ""Reportes"" y seleccionando ""Agenda"" o podes hacerlo desde la página web de FAMAF en https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/. ",Exámenes,
"Quiero hacer dos carreras a la vez, ¿cómo puedo hacer?","Para solicitar cambiar de carrera o cursar en paralelo varias de la oferta de grado de FAMAF, deberás llenar el siguiente formulario:

https://docs.google.com/forms/d/e/1FAIpQLSeNA8jXxGARDeebj0TdjXMmmXGNph0gZQPkzfliWZbcbN9KdQ/viewform

Las solicitudes se recibirán hasta la finalización de la primera semana de diciembre y se reabrirán el primer día hábil de febrero; serán resueltas en el término de 15 días hábiles a partir de la presentación y se informará por correo electrónico.

El trámite debe iniciarse por cada carrera que se desee cursar (por separado).",Cursado,
¿Cómo hago para que me reconozcan las materias que ya aprobé al cambiar de carrera de FAMAF?,"Al inscribirte en otra materia de FAMAF, el reconocimiento de materias se gestiona según la Resolución RHCD-2024-397-E-UNC-DEC#FAMAF de la siguiente manera:

- 1. TRÁMITE AUTOMÁTICO (Anexo I)
La actuación académica se transcribe de forma total y automática para materias que comparten el mismo código entre las carreras involucradas  (por ejemplo: Física General I posee el mismo código tanto en Licenciatura en Astronomía y Licenciatura en Física). Si la materia aparece listada en este anexo junto con las carreras de tu interés, el sistema procesa el reconocimiento sin necesidad de que realices una solicitud manual. 

La lista completa de todas las materias en el Anexo I puedes consultar aquí:
https://www.famaf.unc.edu.ar/documents/5076/RHCD-2024-397-E-UNC-DEC_FAMAF_-_ANEXO_I.pdf

- 2. TRÁMITE A SOLICITUD (Anexos II y III)
Debes solicitar el reconocimiento para materias que, aunque tengan códigos o nombres distintos, se consideran equivalentes según la carrera:

Materias equivalentes (Anexo II): Las materias listadas en el Anexo II son materias que se cursan de manera idéntica. Por ejemplo:
- Matemática Discreta I (03-00031) de Lic. en Ciencias de la Computación es equivalente a Matemática Discreta I (03-00082) de Licenciatura en Matemática Aplicada.
- Análisis Matemático I (03-01027) de Lic. en Hidrometeorología es equivalente a Cálculo I (03-00081) de Licenciatura en Matemática Aplicada.

Consulta la lista completa de materias del Anexo II aquí:
https://www.famaf.unc.edu.ar/documents/5077/RHCD-2024-397-E-UNC-DEC_FAMAF_-_ANEXO_II.pdf

Materias con contenidos equivalentes (Anexo III): Son materias cuyos contenidos cubren los de otras materias y se dictan simultáneamente. Por ejemplo:
- Análisis Numérico I (03-00124) de Licenciatura en Matemática equivale a Análisis Numérico (03-00240) de Lic. en Ciencias de la Computación.

Consulta la lista completa del Anexo III aquí:
https://www.famaf.unc.edu.ar/documents/5078/RHCD-2024-397-E-UNC-DEC_FAMAF_-_ANEXO_III.pdf

- ¿Cómo realizar la solicitud?
- 1. Para materias de los Anexos II y III o equivalencias internas comunes se debe llenar el siguiente formulario: https://forms.gle/bY9kevLfS6by49VA7
- 2. Si no figura en el formulario, completa esta nota (https://docs.google.com/document/d/1klRjzZnZstC-ES7BbqN3FYl0uB1LzheP/edit) y envíala a nfigueroa@unc.edu.ar.

Aviso importante: Las solicitudes se resuelven en 15 días hábiles y serás notificado por correo electrónico.",Cursado,
¿Cómo hago para descargar la constancia de alumno regular?,"Para solicitar el certificado de alumno regular, se debe iniciar sesión en Guaraní, dirigirse a ""Trámites"" > ""Solicitar Constancias y Certificados"" > ""Nueva Solicitud""; ahí deberán completar los datos que le solicita el formulario y hacer clic en el botón de guardar. Automáticamente se generará el certificado.",Cursado,
¿Cómo es la inscripción para el trabajo final?,"Las inscripciones al trabajo especial se receptarán solo al comienzo de cada cuatrimestre. Debés enviar una nota dirigida al/la Decano/a de FAMAF proponiendo el tema y el/la/los director/a/es, un breve resumen, un plan de trabajo. Además todo debe estar firmado por vos y el/la/los director/a/es.

Si tenes alguna otra duda, podes leer el reglamento del trabajo especial donde podés encontrar toda la información que necesites asociada a este tema:

https://digesto.unc.edu.ar/bitstream/handle/123456789/556139/RHCD-2024-600-UNC-DEC%23FAMAF.pdf?sequence=1&isAllowed=y",Egreso,
Necesito ver los planes de estudio de una materia.,"Los planes de estudio los podés encontrar ingresando al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Ahí podrás ver todos los planes de estudio ingresando en la carrera que te interese.",Información General,
¿Cuáles son los horarios de atención del Despacho de Estudiantes?,"Para recibir atención presencial tenes que dirigirte a la ventanilla del Despacho de Estudiantes, ubicada en el primer piso de FAMAF.  

Los horarios de atención son 

Lunes de 8:30 a 14:30 hs
Martes a Jueves de 8:30 a 18:00 hs
Viernes de 8:30 a 17:00 hs

Por consultas vía email: despachoestudiantes@famaf.unc.edu.ar",Información General,
¿Cual es el correo de la SAE?,El correo electrónico de la SAE es sae@famaf.unc.edu.ar,Información General,
¿Cómo hago para sacar el BEG?,"Antes que nada, tenés que: 
- Estar inscripto en las materias que vas a cursar durante el cuatrimestre.
- Tener Ciudadano Digital nivel 2.

Luego:

1. Entra a Guaraní.
2. En la pestaña ""Trámites"" dirigite a ""Tramitar Boleto Estudiantil Gratuito"".
3. Autorizar a la Secretaría de Transporte a consultar los datos para el BEG.
4. Acceder al ""Ciudadano Digital"" a través del sitio web https://cidi.cba.gov.ar/portal-publico/
5. Completar el Formulario Único de Postulantes.

De acuerdo a la situación particular de cada uno, se responderá por correo electrónico cómo proceder en cada caso.

Si no hiciste el traspaso a micronauta, debes sacar turno en la Oficina de Transporte para que te entregen la nueva tarjeta ya activada.

Para más información podés consultar: https://www.cba.gov.ar/boleto-cordobes/",Información General,
¿Cómo me anoto a la beca del comedor?,"Para inscribirte a las Becas Nutrirse 2026 del comedor universitario tenes tiempo de hacerlo desde el 23/02 al 02/03 a través de Guaraní.

Para iniciar el trámite deberás: 

1. Ingresar al sistema Guaraní.
2. Dirigirte a la pestaña de ""Trámites"" y seleccionar ""Tramitar Accesos SAE UNC"". Una vez dentro, verificar que la casilla ""Autorizo a la Secretaría de Asuntos Estudiantiles UNC a cosultar mis datos"" esté marcada y hacer clic en ""Guardar"".
3. Desplegar la sección de ""Trámites"" nuevamente y selecciona ""Convocatoria a Becas"".
4. Una vez dentro, seleccionar la convocatoria a la Beca Nutrirse y haga clic en el botón aplicar.
5. Revisar la información proporcionada y si todo es correcto hacer clic en ""Aceptar"".
6. Completar en ""Datos Personales"" todas las secciones y marcar el casillero ""Declaro que mis datos son correctos"", luego hacer clic en el botón ""Continuar"".
7. Adjuntar la documentación digital requerida haciendo clic en ""Documento Digital"" para adjuntar los documentos, luego apretar en ""Examinar"" para seleccionar los documentos en la computadora y una vez seleccionados, hacer clic en ""Subir"". Esto debe hacerse con cada documento marcado como obligatorio y darle a ""Continuar"".
8. Completar el cuestionario que figura en pantalla y darle a ""Terminar"".

Para revisar el estado de la postulación ingresar a ""Convocatoria a Becas"" y visualizar el ""Estado"":
- Requiere modificaciones indica que el postulante debe revisar, corregir, ampliar, volver a adjuntar documentación.
- No benficiaro de becas indica que no es beneficiario de la beca.
- Beneficiario: El postulante ha obtenido la beca solicitada.

Por cualquier duda o consulta, podes revisar los siguiente enlaces que contienen toda la información necesaria, junto con preguntas frecuentes y medios de contacto ante posibles problemas:
https://www.unc.edu.ar/sites/default/files/Tutorial%20Becas%202025.pdf  (instructivo con capturas para inscribirse a la beca, preguntas frecuentes y contacto)
https://www.unc.edu.ar/vida-estudiantil/becas-nutrirse-2026 (información General sobre la postulación a la Beca Nutrirse 2026)",Información General,
¿Dónde consigo el material del curso de ingreso?,"El material de estudio que se usará durante el cursado del Curso de Nivelación lo podés encontrar en el siguiente enlace:

https://www.famaf.unc.edu.ar/documents/4592/Material_Estudio_Ingreso_FAMAF_2024.pdf

El mismo abarca los temas a desarrollar durante las clases, junto con una serie de ejercicios para afianzar los contenidos.",Ingreso,
¿Cuándo puedo rendir el Trabajo Especial?,"El Trabajo Especial se puede rendir durante las épocas de exámenes establecidas por la reglamentación vigente.

Para poder rendirlo, el/la estudiante debe presentar una nota dirigida al/a la Decano/a de FAMAF, con el aval de sus directores/as. En esa nota se debe indicar el título definitivo del trabajo, la fecha propuesta para el examen, el tribunal examinador y adjuntar la carátula del trabajo. Además, el estudiante entregará a cada miembro del tribunal examinador una copia impresa del trabajo realizado.

Todo esta presentación deberá efectuarse por lo menos treinta días antes de la fecha de exámen propuesta.

Para más información podés revisar el Reglamento en el siguiente enlace: https://www.famaf.unc.edu.ar/documents/1906/Reglamentaci%C3%B3n_Trabajo_Especial.pdf",Egreso,
¿Qué piden para poder sacar libros de la Biblioteca?,Para asociarte a la Biblioteca debés acercarte de lunes a viernes de 10 a 12 horas presentando DNI y certificado de alumno regular de la FAMAF (este último podés mostrarlo desde el celular).,Información General,
¿Cómo hago para ver las correlatividades de las materias?,"Para consultar las correlatividades de una carrera, debés ingresar al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Una vez allí, seleccioná la carrera que te interese y, dentro de la sección “Características de la Carrera”, vas a encontrar el “Régimen de Correlatividades”, donde se detallan todas las correlatividades.",Información General,
¿Dónde puedo ver cuándo se realizan las colaciones?,"Los actos de colación en el año 2026 son el 25 de Junio en el primer cuatrimestre y el 26 de Noviembre para el segundo cuatrimestre.

Podés acceder al Calendario Académico en el siguiente enlace:
https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/calendario-acad%C3%A9mico/

Allí vas a encontrar información sobre los períodos de cursado, las épocas de exámenes y las fechas de las colaciones correspondientes al año.",,
¿La biblioteca atiende por la mañana y por la tarde?,"El horario de atención de la Biblioteca Daniel Oscar Sonzini (FAMAF) es de lunes a viernes, de 8:30 a 18:30 horas.",,
¿Cómo es el trámite para inscribirme a la Beca Manuel Belgrano?,"Disculpa, por el momento no cuento con información específica sobre esa consulta.

Para obtener una respuesta precisa, te sugerimos comunicarte directamente por correo electrónico con el área correspondiente, según el tema de tu consulta:

- despachoestudiantes@famaf.unc.edu.ar: preinscripciones e inscripciones.
- usuarios.unc@famaf.unc.edu.ar: consultas sobre cuentas @unc o @mi.unc.
- sae@famaf.unc.edu.ar: becas, tutorías y tramitación del Régimen Especial de Cursado.
- nfigueroa@unc.edu.ar (Oficialía): gestión de diplomas y certificados, inscripción para cursar o rendir Trabajos Especiales y consultas sobre actas de examen.

Ellos van a poder orientarte mejor según tu situación.",Sin Información,
¿Cómo se vota en las elecciones de FAMAF?,"Disculpa, por el momento no cuento con información específica sobre esa consulta.

Para obtener una respuesta precisa, te sugerimos comunicarte directamente por correo electrónico con el área correspondiente, según el tema de tu consulta:

- despachoestudiantes@famaf.unc.edu.ar: preinscripciones e inscripciones.
- usuarios.unc@famaf.unc.edu.ar: consultas sobre cuentas @unc o @mi.unc.
- sae@famaf.unc.edu.ar: becas, tutorías y tramitación del Régimen Especial de Cursado.
- nfigueroa@unc.edu.ar (Oficialía): gestión de diplomas y certificados, inscripción para cursar o rendir Trabajos Especiales y consultas sobre actas de examen.

Ellos van a poder orientarte mejor según tu situación.",Sin Información,
¿Quiénes pueden dirigir mi tesis?,"Disculpa, por el momento no cuento con información específica sobre esa consulta.

Para obtener una respuesta precisa, te sugerimos comunicarte directamente por correo electrónico con el área correspondiente, según el tema de tu consulta:

- despachoestudiantes@famaf.unc.edu.ar: preinscripciones e inscripciones.
- usuarios.unc@famaf.unc.edu.ar: consultas sobre cuentas @unc o @mi.unc.
- sae@famaf.unc.edu.ar: becas, tutorías y tramitación del Régimen Especial de Cursado.
- nfigueroa@unc.edu.ar (Oficialía): gestión de diplomas y certificados, inscripción para cursar o rendir Trabajos Especiales y consultas sobre actas de examen.

Ellos van a poder orientarte mejor según tu situación.",Sin Información,
"En la FAMAF, ¿qué funciones tienen las áreas y secretarías?","Dirección General de Áreas (DGA)
Tiene a su cargo la coordinación general del personal técnico-administrativo y de servicios de la Facultad. Asiste a las autoridades en la aplicación de políticas vinculadas a recursos humanos y realiza el control de ausentismo del personal.

Área de Enseñanza (ADE)
Es responsable de la gestión académica de grado. Incluye el Despacho de Estudiantes, encargado de inscripciones a materias y exámenes, y la Oficialía, que gestiona actas de exámenes, certificados analíticos, registros de egresados y equivalencias.

Área de Personal y Sueldos (DPS)
Gestiona todo lo relacionado con el personal docente y nodocente. Sus funciones incluyen la liquidación de haberes, la tramitación de licencias, certificaciones, control de asistencia y la administración de la documentación laboral.

Departamento de Informática (DI)
Se ocupa de la infraestructura informática de la Facultad. Analiza necesidades técnicas, define especificaciones para adquisiciones, brinda soporte a los sistemas informáticos institucionales y coordina instalaciones de hardware y redes.

Taller de Mecánica de Precisión
https://www.famaf.unc.edu.ar/la-facultad/institucional/areas-y-departamentos/taller-de-mec%C3%A1nica-de-precisi%C3%B3n/

Taller de Electrónica
Realiza tareas de diseño, construcción, mantenimiento y reparación de equipamiento electrónico. Brinda apoyo técnico a las actividades académicas y de investigación que requieren instrumentación electrónica.

Área de Mantenimiento y Maestranza
Tiene a su cargo el mantenimiento edilicio y los servicios generales del edificio de la Facultad, asegurando el correcto funcionamiento de la infraestructura.

Área de Posgrado
https://www.famaf.unc.edu.ar/la-facultad/institucional/areas-y-departamentos/%C3%A1rea-de-posgrado/
Área Económico-Financiera
Administra los recursos económicos de la Facultad. Sus tareas incluyen tesorería, pagos, rendiciones, conciliaciones bancarias, gestión de proveedores y administración de subsidios y fondos.

Área Administrativa
Centraliza la gestión administrativa general. Incluye mesa de entradas y archivo, Secretaría del Honorable Consejo Directivo, gestión de concursos y evaluación docente.

Biblioteca “Daniel Oscar Sonzini”
Brinda servicios de información y documentación para apoyar la enseñanza, el aprendizaje y la investigación. Gestiona colecciones bibliográficas físicas y digitales, bases de datos académicas y servicios de apoyo a usuarios.",Información General,
¿Dónde puedo conseguir el plan de estudios de la carrera de Computación en la FAMAF?,"Los planes de estudio los podés encontrar ingresando al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Ahí podrás ver todos los planes de estudio ingresando en la carrera que te interese.",Información General,
"Necesito el plan de estudio de Matemática, ¿dónde lo busco?","Los planes de estudio los podés encontrar ingresando al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Ahí podrás ver todos los planes de estudio ingresando en la carrera que te interese.",Información General,
¿Dónde puedo conseguir el plan de estudio de la carrera de Astronomía en la FAMAF?,"Los planes de estudio los podés encontrar ingresando al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Ahí podrás ver todos los planes de estudio ingresando en la carrera que te interese.",Información General,
¿Cómo hago para conseguir el plan de estudios de la carrera de Física?,"Los planes de estudio los podés encontrar ingresando al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Ahí podrás ver todos los planes de estudio ingresando en la carrera que te interese.",Información General,
